,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,appended_address,latitude,longitude
98,17356K,MUIRE NA DEA COIRLE INF,Mourne Road,Drimnagh,Dublin 12,,Dublin,Dublin City Council,14556594,Caoimhe Warren,infantschoolmourneroad@gmail.com,D12E228,N,Y,N,No subjects through Irish,Catholic,85.0,91.0,176,D12E228,53.33062959999999,-6.316851799999999
99,17367P,"MARY, HELP OF CHRISTIANS G.N.S.",Navan Road,Dublin 7,,,Dublin,Dublin City Council,18380471,Renee Moran,principal@maryhelpofchristians.ie,D07EH68,N,N,N,No subjects through Irish,Catholic,435.0,,435,D07EH68,53.36780690000001,-6.3144792
100,17459U,CHRIST THE KING I G,Annaly Road,Cabra,Dublin 7,,Dublin,Dublin City Council,18680115,Maeve MacMahon,ckjgns@gmail.com,D07HV12,N,Y,N,No subjects through Irish,Catholic,55.0,,55,D07HV12,53.3636601,-6.2858575
101,17464N,"FIONNBARRA NAOFA B.N.S.,",Kilkieran Road,Cabra West,Dublin 7,,Dublin,Dublin City Council,18380060,Maeve Daly,chairman.ias@eircom.net,D07A522,N,Y,N,No subjects through Irish,Catholic,,139.0,139,D07A522,53.3691115,-6.297561
102,17465P,DOMINICAN CONVENT GIRLS SENIOR SCHOOL,RATOATH ROAD,CABRA WEST,DUBLIN 7,,Dublin,Dublin City Council,18387194,CYNTHIA O REILLY,principalstcatherinessns@gmail.com,D07V045,N,Y,N,No subjects through Irish,Catholic,197.0,,197,D07V045,53.3699148,-6.307066100000001
103,17466R,ST CATHERINES INFANT SCHOOL,Ratoath Road,Cabra,Dublin 7,,Dublin,Dublin City Council,18684046,Eóin Browne,principal@stcatherinesinfants.com,D07TP21,N,Y,N,No subjects through Irish,Catholic,91.0,45.0,136,D07TP21,53.3703308,-6.3071721
104,17470I,ST RAPHAELAS N S,Saint Raphaela's Road,Stillorgan,Blackrock,Co. Dublin,Dublin,Dun Laoghaire Rathdown,12886878,Laura Corry,Secretary@straphaelasns.ie,A94R7N8,N,N,N,No subjects through Irish,Catholic,444.0,,444,A94R7N8,53.2818723,-6.204961600000001
105,17472M,BAILE FALBACH,Jordanstown,Lusk,Co. Dublin,,Dublin,Fingal County Council,18438372,Annemarie Sharkey,hedgestownnationalschool@gmail.com,K45YP02,N,N,N,No subjects through Irish,Catholic,39.0,40.0,79,K45YP02,53.5507115,-6.2075662
106,17507F,S N PADRAIG NAOFA,Ballybetagh Road,Kiltiernan,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12954255,Sibéal Quigley,secretary@glencullenschool.ie,D18H504,N,N,N,No subjects through Irish,Catholic,83.0,98.0,181,D18H504,53.2223215,-6.2173292
107,17559B,S N MHUIRE,The Green,Garristown,Co. Dublin,,Dublin,Fingal County Council,18354505,Hugh Daly,garristownschooloffice@gmail.com,A42V673,N,N,N,No subjects through Irish,Catholic,94.0,107.0,201,A42V673,53.5627784,-6.3850647
108,17569E,BLESSED OLIVER N S,Balrothery,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,18411494,Mairéad Murphy,office@balrotheryns.com,K32WR94,N,N,N,No subjects through Irish,Catholic,157.0,171.0,328,K32WR94,53.58962570000001,-6.1858603
109,17595F,CILL COSCAIN,Kilcoscan,The Ward,Co. Dublin,,Dublin,Fingal County Council,18351508,Paddy Christie,kilcoskanprincipal@gmail.com,D11PW92,N,N,N,No subjects through Irish,Catholic,55.0,65.0,120,D11PW92,53.4636664,-6.3447156
110,17603B,SCOIL IOSAGAIN BOYS SENIOR,Aughavannagh Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,14541821,Aoife Wrynne,principalscoiliosagain@gmail.com,D12W522,N,Y,N,No subjects through Irish,Catholic,,68.0,68,D12W522,53.33002579999999,-6.287325
111,17683C,MUIRE OG 2 LORETO CON,Crumlin Road,Dublin 12,,,Dublin,Dublin City Council,14541746,Denise Griffin,principal@loretojunior.ie,D12P602,N,Y,N,No subjects through Irish,Catholic,123.0,95.0,218,D12P602,53.33037359999999,-6.2964208
112,17730I,S N NA LANAI GLASA,Seafield Avenue,Clontarf,Dublin 3,,Dublin,Dublin City Council,18331554,Cathy Atkin,cathy.harry@greenlanes.ie,D03A024,N,N,N,No subjects through Irish,Church Of Ireland,148.0,132.0,280,D03A024,53.36539759999999,-6.1894576
113,17732M,SCOIL CHIARAIN,Collins Avenue East,Killester,Dublin 5,,Dublin,Dublin City Council,18313072,Ciara Nic Airt,cibeag@yahoo.com,D05Y578,N,Y,N,No subjects through Irish,Catholic,,133.0,133,D05Y578,53.37398289999999,-6.214882299999999
114,17785K,SAN NIOCLAS MYRA,Malahide Road,Kinsealy,Dublin 17,,Dublin,Fingal County Council,18464033,Breandan Ó Fathaigh,principal@kinsealyns.ie,D17FP52,N,N,N,No subjects through Irish,Catholic,101.0,110.0,211,D17FP52,53.4208233,-6.176037600000001
115,17820J,BRIGHDE NAOFA,Rowlestown Drive,Kilsallaghan,Co. Dublin,,Dublin,Fingal County Council,18404130,Ann Ryan,rolestown.ns@gmail.com,K67Y308,N,N,N,No subjects through Irish,Catholic,192.0,169.0,361,K67Y308,53.49144709999999,-6.300006499999999
116,17881G,SCOIL UI CHONAILL BOYS SENIORS,North Richmond Street,Dublin 1,,,Dublin,Dublin City Council,18557517,Michael Mc Hugh,secretary@oconnellprimary.ie,D01H9X5,N,Y,N,No subjects through Irish,Catholic,,182.0,182,D01H9X5,53.3592965,-6.2515085
117,17891J,SCOIL MHUIRE,Tower Road,Chapelizod,Dublin 20,,Dublin,Dublin City Council,18213105,Úna O'Kelly,scoilmhuiremountsackville@gmail.com,D20HX04,N,N,N,No subjects through Irish,Catholic,220.0,,220,D20HX04,53.3602651,-6.3588413
118,17893N,SANCTA MARIA C B S,Synge Strete,Dublin 8,,,Dublin,Dublin City Council,14784316,Victoria McQuaid,principal@bunscoilsynge.ie,D08V6R9,N,Y,N,Some subjects through Irish,Catholic,18.0,82.0,100,D08V6R9,53.3333413,-6.267246699999999
119,17899C,SCOIL CARMEL,Firhouse Road,Dublin 24,,,Dublin,South Dublin County Council,14514151,Ursula Martin,scoilcarmelns@eircom.net,D24NA44,N,N,N,No subjects through Irish,Catholic,186.0,217.0,403,D24NA44,53.2851399,-6.337288099999999
120,17912O,S N EOIN BOSCO BUACH,Navan Road,Dublin 7,,,Dublin,Dublin City Council,18380371,Emmanuel Bourke,boscosen.ias@eircom.net,D07V654,N,N,N,No subjects through Irish,Catholic,,449.0,449,D07V654,53.3678673,-6.3137558
121,17914S,ST OLIVER PLUNKETT,Grove Road,Malahide,Co. Dublin,,Dublin,Fingal County Council,18452052,Claire O'Connor,office@stops.ie,K36H998,N,N,N,No subjects through Irish,Catholic,442.0,474.0,916,K36H998,53.4469985,-6.150898199999999
122,17928G,SN N SAILBHEASTAR NFA,Yellow Walls Road,Malahide,Co Dublin,,Dublin,Fingal County Council,18450061,Sharon Dunne,stsylvesters@gmail.com,K36PA66,N,N,N,No subjects through Irish,Catholic,198.0,212.0,410,K36PA66,53.4495057,-6.163405
123,17936F,SN EOIN BAISDE BOYS SENIOR SCHOOL,Seafield Road,Clontarf,Dublin 3,,Dublin,Dublin City Council,18331852,Conor Ryan,info@belgroveseniorboys.ie,D03HK82,N,N,N,No subjects through Irish,Catholic,,331.0,331,D03HK82,53.3636387,-6.1974817
124,17953F,S N BHAILE EAMONN,Edmondstown Road,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,14933255,Philomena Cleary,edmondstownns@hotmail.com,D16XF86,N,N,N,No subjects through Irish,Catholic,52.0,51.0,103,D16XF86,53.2687828,-6.2994667
125,17954H,SCOIL CAOIMHIN NAOFA,Mount Merrion,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12887108,Siobhan McDonagh,office@oatlandsprimaryschool.ie,A94KW94,N,N,N,No subjects through Irish,Catholic,161.0,295.0,456,A94KW94,53.2911744,-6.2052544
126,17961E,S N LUSCA,Chapel Road,Lusk,Co. Dublin,,Dublin,Fingal County Council,18437738,Paul Comiskey,LuskSNSoffice@luskns.ie,K45CX43,N,N,N,No subjects through Irish,Catholic,240.0,217.0,457,K45CX43,53.5291863,-6.1679166
127,17970F,OUR LADY OF MERCY CONVENT SCHOOL,Rosemount Terrace,Booterstown,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12884223,Siobhán Hanly,ourladyofmercyoffice@gmail.com,A94V656,N,N,N,No subjects through Irish,Catholic,270.0,,270,A94V656,53.3053316,-6.2003846
128,17976R,SCOIL ASSAIM BOYS SENIORS,Raheny,Dublin 5,,,Dublin,Dublin City Council,18314044,Dr. Bernadette O'Donovan,secretary@scoilassaim.com,D05AW29,N,N,N,No subjects through Irish,Catholic,,297.0,297,D05AW29,53.3784824,-6.1768442
129,17977T,SCOIL AINE CONVENT SENIOR,All Saints Drive,Raheny,Dublin 5,,Dublin,Dublin City Council,18319463,Clodagh O'Gara,scoilaineraheny1958@gmail.com,D05PD34,N,N,N,No subjects through Irish,Catholic,363.0,,363,D05PD34,53.3783439,-6.1773997
130,17978V,NAISCOIL IDE,All Saints Drive,Raheny,Dublin 5,,Dublin,Dublin City Council,18317688,Clare Ring,naiscoilide@gmail.com,D05E932,N,N,N,No subjects through Irish,Catholic,191.0,188.0,379,D05E932,53.3779098,-6.178313999999999
131,17979A,S N CNOC AINBHIL,Lower Kilmacud Road,Stillorgan,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12831148,Grainne McGowan,secretary@mountanvilleprimaryschool.com,A94E2N7,N,N,N,No subjects through Irish,Catholic,474.0,,474,A94E2N7,53.2892001,-6.217747699999999
132,17996A,GLEN NA SMOL N S,Glenasmole,Bohernabreena,Dublin 24,,Dublin,South Dublin County Council,14624143,Mary McColgan,office@glenasmolens.com,D24YC57,N,N,N,No subjects through Irish,Catholic,44.0,43.0,87,D24YC57,53.2454664,-6.3576089
133,18038B,ST MARGARETS N S,Sandyhill,Saint Margaret's,Co. Dublin,,Dublin,Fingal County Council,18361669,Grainne Noone,stmargaretsns@hotmail.com,K67PE80,N,N,N,No subjects through Irish,Catholic,43.0,52.0,95,K67PE80,53.43018739999999,-6.300504699999999
134,18046A,SCOIL BRIDE B,Church Avenue,Blanchardstown,Dublin 15,,Dublin,Fingal County Council,18201299,Séamus Sullivan,secretarysbb@gmail.com,D15H329,N,N,N,No subjects through Irish,Catholic,,352.0,352,D15H329,53.3842886,-6.372517999999999
135,18047C,SCOIL BRIDE C,Church Avenue,Blanchardstown,Dublin 15,,Dublin,Fingal County Council,18201717,Anne McKeon,priomhoidesbc@gmail.com,D15R271,N,N,N,No subjects through Irish,Catholic,367.0,,367,D15R271,53.3846936,-6.373440599999999
136,18080A,SCOIL MHUIRE MXD,Tuckett's Lane,Howth,Co. Dublin,,Dublin,Fingal County Council,18323572,John Chambers,howthns@gmail.com,D13PW99,N,N,N,No subjects through Irish,Catholic,219.0,217.0,436,D13PW99,53.3843945,-6.068928
137,18137D,SN NAOMH FEARGAL BOYS SENIOR,FINGLAS WEST,DUBLIN 11,,,Dublin,Dublin City Council,18347609,MARY FLYNN,stfergals@yahoo.ie,D11E925,N,Y,N,No subjects through Irish,Catholic,,153.0,153,D11E925,53.3876137,-6.3067932
138,18170B,SN MUIRE NA FREASTOGALA GIRLS SEN,Assumption Senior Girls NS,Long Mile Rd,Walkinstown,Dublin 12,Dublin,Dublin City Council,14508309,Jonathan Hanley,info@assumptiongns.ie,D12FK49,N,N,N,No subjects through Irish,Catholic,243.0,,243,D12FK49,53.3232154,-6.3323548
139,18173H,S N BRIOTAS,Brittas,Co. Dublin,,,Dublin,South Dublin County Council,14582311,Cormac O'Farrell,smarbrit.ias@eircom.net,D24WK77,N,N,N,No subjects through Irish,Catholic,54.0,59.0,113,D24WK77,53.2350779,-6.452344099999999
140,18205R,S N AN PHAROISTE,Church Street,Finglas,Dublin 11,,Dublin,Dublin City Council,18347349,Amanda Hawes,principal@finglasparochialns.ie,D11XT35,N,Y,N,No subjects through Irish,Church Of Ireland,36.0,26.0,62,D11XT35,53.38835959999999,-6.3035023
141,18282M,SN PAROISTE MAITIU NFA,Cranfield Place,Sandymount,Dublin 4,,Dublin,Dublin City Council,16603145,Naomi Rousseau,secretary@stmatts.ie,D04FK11,N,N,N,No subjects through Irish,Church Of Ireland,117.0,106.0,223,D04FK11,53.3373327,-6.2211561
142,18323A,SCOIL LORCAIN B,The Oval,Palmerstown,Dublin 20,,Dublin,South Dublin County Council,16267493,John Moore,stlorcans@eircom.net,D20W227,N,N,N,No subjects through Irish,Catholic,,379.0,379,D20W227,53.35242470000001,-6.3690216
143,18324C,SCOIL BRIDE C,Turret Road,Palmerstown,Dublin 20,,Dublin,South Dublin County Council,16265431,Aideen O'Shea,stbrigidsgns@gmail.com,D20AC82,N,N,N,No subjects through Irish,Catholic,388.0,,388,D20AC82,53.3521058,-6.3696231
144,18360G,SCOIL BHREANDAIN,McAuley Road,Artane,Dublin 5,,Dublin,Dublin City Council,18319047,Siobhán Flynn,stbrendansartane@gmail.com,D05P820,N,Y,N,No subjects through Irish,Catholic,,157.0,157,D05P820,53.3842884,-6.1961926
145,18361I,SN CAITRIONA GIRLS,Measc Avenue,Coolock,Dublin 5,,Dublin,Dublin City Council,18480018,Imelda Whelan,scoilchaitriona@gmail.com,D05HR61,N,Y,N,No subjects through Irish,Catholic,177.0,,177,D05HR61,53.3849953,-6.1981399
146,18362K,S N CAITRIONA NAIONAIN,Measc Avenue,Coolock,Dublin 5,,Dublin,Dublin City Council,18480142,Maria Dineen,scoilchaitriona.infants246@gmail.com,D05FC92,N,Y,N,No subjects through Irish,Catholic,145.0,103.0,248,D05FC92,53.3851028,-6.1989158
147,18386B,MARIST NATIONAL SCHOOL,Clogher Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,14541228,Sr. Geraldine Campbell,maristps@hotmail.com,D12YP98,N,Y,N,No subjects through Irish,Catholic,208.0,75.0,283,D12YP98,53.3260676,-6.2932641
148,18411U,ST MARYS SCHOOL,Greenhills Road,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14515387,Shane Cadigan,office@stmarystallaght.ie,D24K248,N,N,N,No subjects through Irish,Catholic,164.0,177.0,341,D24K248,53.2903925,-6.3572988
149,18412W,S N C NAOMH PADRAIG,Portrane Road,Donabate,Co. Dublin,,Dublin,Fingal County Council,18436201,Ciara Greene,scoilphadraic@gmail.com,K36KH36,N,N,N,No subjects through Irish,Catholic,437.0,,437,K36KH36,53.4927243,-6.1356108
150,18451J,SCOIL LORCÁIN,Cearnóg Eaton,Baile na Manach,Co. Átha Cliath,,Dublin,Dun Laoghaire Rathdown,12808906,Colmán Ó Drisceoil,scoillorcain1@scoillorcain.ie,A94F596,N,N,N,All subjects through Irish,Catholic,249.0,235.0,484,A94F596,53.2966333,-6.1647906
151,18477E,SCOIL NA MBRATHAR,John Dillon Street,Dublin 8,,,Dublin,Dublin City Council,14531800,Fiona Collins,principal.francisstcbs@gmail.com,D08FE83,N,Y,N,No subjects through Irish,Catholic,,155.0,155,D08FE83,53.3414328,-6.2735045
152,18585H,SN BANRION NA NAINGEAL1,GURTEEN ROAD,BALLYFERMOT,DUBLIN 10,,Dublin,Dublin City Council,16265207,MAURICE SWEENEY,mqa1@eircom.net,D10A997,N,Y,N,No subjects through Irish,Catholic,,167.0,167,D10A997,53.3464229,-6.361161800000001
153,18602E,SCOIL MHUIRE,Convent Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14592986,Carol Burke Heneghan,scoilmhuireoffice@eircom.net,D22F851,N,N,N,No subjects through Irish,Catholic,253.0,109.0,362,D22F851,53.3179102,-6.3943865
154,18623M,SCOIL NAISUNTA CHNUACHA,Main Street,Castleknock,Dublin 15,,Dublin,Fingal County Council,18202611,Sandra Moloney,office@castleknocknationalschool.ie,D15PV38,N,N,N,No subjects through Irish,Church Of Ireland,105.0,107.0,212,D15PV38,53.3742074,-6.3622634
155,18632N,S N EOIN BOSCO NAI BUAC,Navan Road,Dublin 7,,,Dublin,Dublin City Council,18380495,Karen Mc Goldrick,info@stjohnboscojbs.com,D07WP22,N,N,N,No subjects through Irish,Catholic,,196.0,196,D07WP22,53.3683529,-6.3144301
156,18642Q,S N NAOMH EOIN,Tower Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14570680,Michelle Sharkey,principal@stjohnsnsclondalkin.com,D22YN52,N,N,N,No subjects through Irish,Church Of Ireland,43.0,50.0,93,D22YN52,53.3217472,-6.3945363
157,18646B,SPRINGDALE N S,Lough Derg Road,Raheny,Dublin 5,,Dublin,Dublin City Council,18317149,Lesley Cahill,principal@springdale.ie,D05E954,N,N,N,No subjects through Irish,Church Of Ireland,121.0,121.0,242,D05E954,53.3822925,-6.1795354
158,18647D,S N SAN TREASA,The Rise,Mount Merrion,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12881505,Frances Mullin,principal@sstreasa.ie,A94EK75,N,N,N,No subjects through Irish,Catholic,212.0,232.0,444,A94EK75,53.29486379999999,-6.2100336
159,18655C,SCOIL NAOMH SEOSAMH,Boot Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14592951,Niall Desmond,secretary@stjosephsbns.ie,D22PY13,N,N,N,No subjects through Irish,Catholic,,414.0,414,D22PY13,53.3173069,-6.3950079
160,18682F,ST CANICES B N S,Glasanaon Road,Finglas,Dublin 11,,Dublin,Dublin City Council,18341585,Tim Walsh,info@stcanices.com,D11TW01,N,Y,N,No subjects through Irish,Catholic,,408.0,408,D11TW01,53.38923020000001,-6.292038799999999
161,18683H,ST CANICES G N S,Seamus Ennis Road,Finglas,Dublin 11,,Dublin,Dublin City Council,18342072,Dearbhla White,info@stcanicesgns.ie,D11C927,N,Y,N,No subjects through Irish,Catholic,486.0,,486,D11C927,53.3894636,-6.2967774
162,18726W,S N SEOSAMH NA MBRATHAR,Marino Park Avenue,Fairview,Dublin 3,,Dublin,Dublin City Council,18336127,Kevin Gillen,barbara@stjosephscbs.ie,D03H524,N,Y,N,No subjects through Irish,Catholic,,125.0,125,D03H524,53.3639026,-6.2336681
163,18778S,S N NAOMH MOCHTA,Porterstown Road,Clonsilla,Dublin 15,,Dublin,Fingal County Council,18130430,Maria Farrell,info@stmochtas.ie,D15Y316,N,N,N,No subjects through Irish,Catholic,426.0,459.0,885,D15Y316,53.38200149999999,-6.4051662
164,18806U,KILTERNAN N S 1,Kilternan,Dublin 18,,,Dublin,Dun Laoghaire Rathdown,12955682,Brenda Carson,school@ourladyofthewaysidens.ie,D18CY28,N,N,N,No subjects through Irish,Catholic,136.0,184.0,320,D18CY28,53.2357197,-6.1960453
165,18817C,S N BRIGHDE,Cullenswood House,Bóthar Feadha Cuilinn,Raghnallach,Baile Átha Cliath 6,Dublin,Dublin City Council,14973390,Gráinne Dollard,scoilbhride01@gmail.com,D06E8K7,N,N,N,All subjects through Irish,Catholic,212.0,224.0,436,D06E8K7,53.32186609999999,-6.2572303
166,18843D,BAINRION NA N-AINGAL 2,Gurteen Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,16235067,Seán O'Shea,maryqueenofangels2@gmail.com,D10C527,N,Y,N,No subjects through Irish,Catholic,,131.0,131,D10C527,53.3464229,-6.361161800000001
167,18886V,KILL-O'-THE-GRANGE NS,Deansgrange,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12894578,Hilary McBain,admin@kogrange.com,A94X225,N,N,N,No subjects through Irish,Church Of Ireland,102.0,115.0,217,A94X225,53.27815469999999,-6.1618314
168,18910P,BANTIARNA NA MBUANNA BOYS,Ballymun Rd,DUBLIN 9,,,Dublin,Dublin City Council,18375255,Roisin Hickey,olvboys.ias@eircom.net,D09HC90,N,Y,N,No subjects through Irish,Catholic,,200.0,200,D09HC90,53.38905279999999,-6.2682797
169,18911R,BANTIARNA NA MBUANNA GIRLS,Ballymun Road,Dublin 9,,,Dublin,Dublin City Council,18379833,Lorna Greene,victories.ias@eircom.net,D09NY99,N,Y,N,No subjects through Irish,Catholic,202.0,,202,D09NY99,53.38871,-6.266596000000001
170,18968A,ST MALACHYS B N S,Edenmore Park,Raheny,Dublin 5,,Dublin,Dublin City Council,18478952,Grainne Roche,stmalachyse.ias@eircom.net,D05HP30,N,Y,N,No subjects through Irish,Catholic,,160.0,160,D05HP30,53.3881716,-6.180570200000001
171,18969C,ST EITHNES SENIOR GIRLS NS,Edenmore,Raheny,Dublin 5,,Dublin,Dublin City Council,18480630,Cormac Henry,steithnesgns@gmail.com,D05NH04,N,Y,N,No subjects through Irish,Catholic,87.0,,87,D05NH04,53.3895053,-6.1807765
172,18976W,S N CHOLMILLE B,Chapel Lane,Swords,,,Dublin,Fingal County Council,18405132,Ciara Brangan,colmcilles@gmail.com,K67WP65,N,N,N,No subjects through Irish,Catholic,,407.0,407,K67WP65,53.4584828,-6.214772
173,18977B,S N CHOLMCILLE C,Chapel Lane,Swords,Co. Dublin,,Dublin,Fingal County Council,18404168,Karen Burke Logue,colmcillesgns@gmail.com,K67H337,N,N,N,No subjects through Irish,Catholic,435.0,,435,K67H337,53.4576702,-6.214372
174,19001G,BALLYBOGHILL N S,Ballyboughal,Co. Dublin,,,Dublin,Fingal County Council,18433469,Maeve O'Doherty,principal@ballyboughalns.ie,A41RC98,N,N,N,No subjects through Irish,Catholic,114.0,107.0,221,A41RC98,53.5210805,-6.2664566
175,19006Q,EOIN BAISDE B SOIS,Seafield Road,Clontarf,Dublin 3,,Dublin,Dublin City Council,18336539,John O'Sullivan,info@belgrovejbs.ie,D03TD21,N,N,N,No subjects through Irish,Catholic,,334.0,334,D03TD21,53.3639162,-6.197803
176,19007S,EOIN BAISDE C NAOIDH,Seafield Road West,Clontarf,Dublin 3,,Dublin,Dublin City Council,18332459,Dearbhla O'Driscoll,secretary@belgrove.ie,D03XK27,N,N,N,No subjects through Irish,Catholic,276.0,,276,D03XK27,53.36362159999999,-6.1997731
177,19015R,ST JOSEPHS G N S,Barry Avenue,Finglas West,Dublin 11,,Dublin,Dublin City Council,18342433,Áine Fitzgerald,principal@stjosephsfinglas.net,D11A8PD,N,Y,N,No subjects through Irish,Catholic,169.0,,169,D11A8PD,53.3951771,-6.309877
178,19037E,ST MONICAS N S,Edenmore Park,Raheny,Dublin 5,,Dublin,Dublin City Council,18674540,Sinead Mullen,scoilmonica@gmail.com,D05VX21,N,Y,N,No subjects through Irish,Catholic,45.0,,45,D05VX21,53.38936349999999,-6.1805892
179,19066L,LORETO NATIONAL SCHOOL,Loreto Avenue,Dalkey,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12802128,Fióna McKenna,secretary@loretopsdalkey.ie,A96P8N3,N,N,N,No subjects through Irish,Catholic,273.0,79.0,352,A96P8N3,53.2803316,-6.101368000000001
180,19114T,ST PATRICK GNS,Ballyroan,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,14946566,Anna Jennings,info@snp.ie,D16XK80,N,N,N,No subjects through Irish,Catholic,438.0,124.0,562,D16XK80,53.2863572,-6.300166399999999
181,19177U,ST PIUS X N S BOYS,Fortfield Park,Terenure,Dublin 6,,Dublin,South Dublin County Council,14903057,Lorcan Coyle,secretary@piusxbns.ie,D6WHP92,N,N,N,No subjects through Irish,Catholic,,542.0,542,D6WHP92,53.3027676,-6.3054478
182,19178W,ST PIUS X G N S,Fortfield Park,Terenure,Dublin 6W,,Dublin,South Dublin County Council,14901052,Áine Doyle,secretary@piusxgns.ie,D6WPN27,N,N,N,No subjects through Irish,Catholic,541.0,,541,D6WPN27,53.3026534,-6.3047333
183,19197D,ST KEVINS B N S,Barry Avenue,Finglas West,Dublin 11,,Dublin,Dublin City Council,18343061,Noleen Griffiths,stkevinsadmin@eircom.net,D11VW22,N,Y,N,No subjects through Irish,Catholic,,169.0,169,D11VW22,53.39601210000001,-6.3093259
184,19208F,HOLY SPIRIT B N S,Sillogue Road,Ballymun,Dublin 11,,Dublin,Dublin City Council,18421230,Vivienne Bryan,holyspiritbns@yahoo.co.uk,D11N207,N,Y,N,No subjects through Irish,Catholic,,337.0,337,D11N207,53.39593439999999,-6.2699076
185,19209H,SN AN SPIORAID NAIOMH C,Sillogue Road,Ballymun,Dublin 11,,Dublin,Dublin City Council,18420207,Emma Conroy,principal@holyspiritgns.ie,D11X26P,N,Y,N,No subjects through Irish,Catholic,308.0,,308,D11X26P,53.3956358,-6.2710978
186,19220S,SCOIL NAOMH IDE,New Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14592766,Orla Ní Odhráin,secretary@scoilidepps.com,D22ED72,N,N,N,No subjects through Irish,Catholic,199.0,73.0,272,D22ED72,53.31765249999999,-6.392453000000001
187,19221U,SCOIL NAOMH AINE,New Road,Clondalkin Village,Dublin 22,,Dublin,South Dublin County Council,14591645,Karen McKevitt (Acting),admin@scoilaine.ie,D22X577,N,N,N,No subjects through Irish,Catholic,203.0,57.0,260,D22X577,53.3171118,-6.3922382
188,19242F,OUR LADY OF VICTORIES INFANT N S,Ballymun Road,Dublin 9,,,Dublin,Dublin City Council,18372372,Mary McDonnell,office@olvinfants.com,D09YC99,N,Y,N,No subjects through Irish,Catholic,115.0,118.0,233,D09YC99,53.38869529999999,-6.267076299999999
189,19258U,SCOIL PADRAIG NAOFA B,Hollypark,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12896042,Barry O'Donovan,info@hollyparkbns.ie,A94FE02,N,N,N,No subjects through Irish,Catholic,,623.0,623,A94FE02,53.2801917,-6.1749565
190,19259W,ST PATRICKS GNS,Foxrock Avenue,Foxrock,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12893293,Bernadette Gunning,hollyparkgns@gmail.com,D18V659,N,N,N,No subjects through Irish,Catholic,568.0,,568,D18V659,53.2796325,-6.17549
191,19297H,CROMCASTLE GREEN B N S,Cromcastle Green,Kilmore West,DUBLIN 5,,Dublin,Dublin City Council,18476709,Martin Stynes,mrstynes@scoilfhursa.ie,D05YP68,N,Y,N,No subjects through Irish,Catholic,,212.0,212,D05YP68,53.3948577,-6.220007
192,19298J,SCOIL NAIS IDE CAILINI,Cromcastle Green,Kilmore West,Dublin 5,,Dublin,Dublin City Council,18476048,Andrea Lynch,info@scoilidegns.ie,D05TN12,N,Y,N,No subjects through Irish,Catholic,145.0,,145,D05TN12,53.3951573,-6.2199655
193,19302U,SN NA MAIGHDINE MUIRE B,Shangan Road,Ballymun,Dublin 9,,Dublin,Dublin City Council,18421314,John Clinton,Info@virginmarybns.ie,D09H2F2,N,Y,N,No subjects through Irish,Catholic,,131.0,131,D09H2F2,53.3957116,-6.2604495
194,19303W,VIRGIN MARY GIRLS NATIONAL SCHOOL,Shangan Road,Ballymun,Dublin 9,,Dublin,Dublin City Council,18421614,Niamh Cuthbert,info@virginmarygns.ie,D09T2X6,N,Y,N,No subjects through Irish,Catholic,166.0,,166,D09T2X6,53.3957788,-6.2610331
195,19308J,ST BRIGIDS BOYS N S,Howth Road,Killester,Dublin 5,,Dublin,Dublin City Council,18336149,Nuala Cullen,info@stbrigidsbns.ie,D05A386,N,N,N,No subjects through Irish,Catholic,,350.0,350,D05A386,53.3748068,-6.195411399999999
196,19309L,SCOIL NEASAIN,Baile Harmain,Baile Átha Cliath 5,,,Dublin,Dublin City Council,18316338,Deirble Nic Conghamhna,oifigscn@gmail.com,D05VF95,N,N,N,All subjects through Irish,Catholic,123.0,129.0,252,D05VF95,53.3821258,-6.1964247
